Laplace (uniform),0.004117,0.001457,0.000514,0.000115,0.000027
Laplace,0.013333,0.003569,0.001259,0.000323,0.000079
Poisson (uniform),0.041667,0.014144,0.004937,0.001103,0.00026
Poisson,0.312731,0.127167,0.048173,0.011199,0.002662
