step,euler,symplectic-euler,midpoint,backwards-euler,analytic
0.0001,2.2011,2.1962,2.1962,2.19605,2
0.0002,2.21767,2.1962,2.1962,2.19589,2
0.0004,2.31598,2.1962,2.1962,2.19559,2
0.0008,8.47E+34,2.1962,2.1962,2.19498,2
0.0016,inf,2.1962,2.19628,2.19377,2.00001
0.0032,inf,2.19621,2.19749,2.1914,2.00005
0.0064,inf,2.19625,2.21907,2.18685,2.0002
0.0128,inf,2.1964,1.89E+307,2.17852,2.0008
0.0256,inf,2.19701,1.84E+307,2.16453,2.0032
0.0512,inf,2.19958,inf,2.14468,2.01258
